ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001,ssxtg_2ce003
10.2904639050860,43.8722294394408,30.3242171995345,54.9602977324644,44.6511206124500,3495.00247271845,0.0104143231261653,103.982160554045,44.4291982789981,29.8332419599892,6.22293569070498,228.019622916187,489.288935710947,3480.01260445781,2024-07-09 09:07:28.375098
10.2905926199789,43.8723830746795,30.3241668566141,54.9602404773898,44.6389339584702,3495.00264962730,0.0103933160217129,103.981971366768,44.4292429068749,29.8331773170281,6.22289486678389,227.691286600065,489.289903354772,3480.01278173519,2024-07-09 09:07:29.093812
10.2906496028216,43.8724900003703,30.3241332966725,54.9597653803802,44.6309986493176,3495.00280429045,0.0103877604588748,103.981479344848,44.4292790244996,29.8331342249390,6.22271915053988,227.701668401963,489.287473036349,3480.01293539360,2024-07-09 09:07:29.808902
10.2906525084121,43.8726264589409,30.3240857553491,54.9584182245832,44.6200235503924,3495.00317852621,0.0103840898524078,103.979552203817,44.4293300443107,29.8330731814226,6.22265275962316,227.490112647822,489.293187758058,3480.01330383888,2024-07-09 09:07:30.523889
10.2906386628655,43.8727030203136,30.3240494013432,54.9581774714777,44.6118544805799,3495.00363249399,0.0103829007286660,103.978932740875,44.4293617592279,29.8330265035649,6.22271652117275,227.289592544017,489.298820806282,3480.01374922213,2024-07-09 09:07:31.245227
10.2906730380788,43.8727549331531,30.3240158452612,54.9606925218504,44.6044906207800,3495.00410416539,0.0103825299644427,103.978773351991,44.4293856780217,29.8329834189265,6.22284943044293,227.056162117065,489.303774708904,3480.01421189514,2024-07-09 09:07:31.960719
10.2909061368109,43.8728280326114,30.3239655154869,54.9624249443499,44.5937768963663,3495.00467877071,0.0103827854991089,103.978634592076,44.4294234955972,29.8329187986805,6.22300556663589,226.643632112248,489.310325061030,3480.01477610785,2024-07-09 09:07:32.675834
10.2912870758921,43.8728837752856,30.3239319652953,54.9624682933932,44.5868658978141,3495.00495369653,0.0103833344893192,103.978623397893,44.4294562947608,29.8328757231744,6.22300913268765,226.457427105026,489.314188673629,3480.01504580333,2024-07-09 09:07:33.390677
10.2924728035447,43.8729628043801,30.3238844387019,54.9619975002256,44.5774027324224,3495.00529750119,0.0103845165416370,103.979198001802,44.4295196576540,29.8328147045930,6.22299688920756,226.120594883047,489.323243012731,3480.01538439361,2024-07-09 09:07:34.107001
10.2937708720436,43.8731034605885,30.3238481014498,54.9631345945722,44.5704346838147,3495.00496503889,0.0103856119193826,103.979515140269,44.4296223979482,29.8327680521454,6.22301512438188,225.679885200175,489.331480962062,3480.01506489415,2024-07-09 09:07:34.822025
10.2950440333988,43.8733385165501,30.3238145651400,54.9620321583023,44.5642177407273,3495.00410542287,0.0103866657792381,103.980030319417,44.4297816020307,29.8327249959713,6.22305193753365,225.313453272884,489.339004805081,3480.01422933032,2024-07-09 09:07:35.543308
