ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001
10.2354633048062,43.7754001236021,30.2544814279817,44.4619670940809,3495.74332330914,0.493452444062250,103.987487159843,44.3280724666228,29.7442203020881,6.22647598938614,227.405959036962,489.103614449983,3480.74455883024,2024-07-08 16:09:49.058758
10.2353766794984,43.7751955148019,30.2544376772801,44.4493373657139,3495.74323574874,0.493162495198298,103.980441290461,44.3278040107761,29.7441646838005,6.22647423546301,227.575638511429,489.097973673803,3480.74447244729,2024-07-08 16:09:49.772979
10.2352666294309,43.7750231581596,30.2544067890831,44.4405721023890,3495.74384956113,0.492969576807030,103.977732302677,44.3276017847909,29.7441254186360,6.22644270809618,227.129918239372,489.093235227983,3480.74507906857,2024-07-08 16:09:50.493715
10.2350478489688,43.7747620390650,30.2543630358026,44.4283720615593,3495.74452468007,0.492689133210471,103.987174197050,44.3273151838458,29.7440697989095,6.22632095656449,227.365691930864,489.086016795771,3480.74574161941,2024-07-08 16:09:51.214879
10.2349820992068,43.7745572158325,30.2543295739350,44.4192263138976,3495.74542544785,0.492464556346973,103.984283453989,44.3270945446154,29.7440272632708,6.22624641906581,226.968103496208,489.082195026102,3480.74663704755,2024-07-08 16:09:51.928474
10.2347976157891,43.7743615610236,30.2542961232978,44.4102363252858,3495.74557140765,0.492245880279595,103.977492683314,44.3268777139732,29.7439847392170,6.22619109009487,226.755159248124,489.079316480182,3480.74677461583,2024-07-08 16:09:52.648542
10.2346553540295,43.7740648602065,30.2542523751518,44.3987382759375,3495.74690918148,0.491967212290229,103.985487655322,44.3265777915181,29.7439291266213,6.22614983571108,226.881405404660,489.075553881963,3480.74809638690,2024-07-08 16:09:53.371463
10.2344360088309,43.7738468643222,30.2542189228569,44.3901459751036,3495.74711971070,0.491740194026104,103.986286452927,44.3263519203334,29.7438866020486,6.22608483523490,226.530147533892,489.071644058622,3480.74827826782,2024-07-08 16:09:54.094696
10.2342923103688,43.7736408583715,30.2541880447750,44.3823685226322,3495.74748295012,0.491531352434391,103.980961153121,44.3261411844726,29.7438473498700,6.22600072306105,226.266643542643,489.067953080725,3480.74865520950,2024-07-08 16:09:54.812634
10.2341100695776,43.7733462361753,30.2541417311114,44.3709997365704,3495.74820778092,0.491233619670202,103.982707093411,44.3258311045628,29.7437884761156,6.22584707545631,226.001569875719,489.063181139113,3480.74936829291,2024-07-08 16:09:55.530773
10.2339929061466,43.7731532193015,30.2541108567256,44.3636215097604,3495.74867129901,0.491026662842871,103.986461358715,44.3256219358446,29.7437492287674,6.22563407628505,225.903238827440,489.057998092017,3480.74982751753,2024-07-08 16:09:56.244900
10.2338569815335,43.7728595258210,30.2540671196393,44.3534581494391,3495.74936858892,0.490727087690651,103.981707335098,44.3253257418400,29.7436936306691,6.22543248596428,225.629959167391,489.054856554184,3480.75050934135,2024-07-08 16:09:56.965119
10.2336655085421,43.7726456068791,30.2540336760634,44.3459209072149,3495.74991676660,0.490507262296421,103.975276876299,44.3251008478451,29.7436511175565,6.22543112870655,225.363491057576,489.056537150386,3480.75105145348,2024-07-08 16:09:57.685583
10.2335852143313,43.7724209228678,30.2540028044927,44.3391506608201,3495.75056993430,0.490303621972905,103.984937880824,44.3248811879198,29.7436118743153,6.22544177332063,225.367766659572,489.055772159745,3480.75169568739,2024-07-08 16:09:58.401845
